,Time,News Reporter,News Headline,URL
0,Jan-05-23 12:25AM, Bloomberg,"Amazon to Slash More Than 18,000 Jobs in Escalation of Cuts",https://finance.yahoo.com/news/amazon-slash-more-18-000-011930609.html
1,Jan-04-23 10:37PM, The Wall Street Journal,"Amazon Layoffs to Hit Over 18,000 Workers, the Most in Recent Tech Wave",https://finance.yahoo.com/m/b233dd3a-2930-3e66-8e25-1f1f9c41c691/amazon-layoffs-to-hit-over.html
2,Jan-04-23 09:52PM, Financial Times,"Amazon plans to cut 18,000 jobs to rein in costs",https://finance.yahoo.com/m/8b900069-e97b-3774-bc8a-d0ee5b783648/amazon-plans-to-cut-18%2C000.html
3,Jan-04-23 09:19PM, Variety,"Amazon Will Lay Off 18,000 Employees, CEO Andy Jassy Says",https://finance.yahoo.com/m/5f76799b-c696-385c-b411-db8c591bff8c/amazon-will-lay-off-18%2C000.html
4,Jan-04-23 08:51PM, TheStreet.com,How Amazon Could 'Steal' Season 2 of Netflix's Hottest Show,https://finance.yahoo.com/m/5bb3094f-1f77-3912-9f5e-9bb5b08bba63/how-amazon-could-%27steal%27.html
5,Jan-04-23 07:06PM, Bloomberg,"Amazon to Cut 70% More Jobs Than Previously Planned, WSJ Says",https://finance.yahoo.com/news/amazon-cut-70-more-jobs-000607741.html
6,Jan-04-23 06:58PM, Morningstar Research,"Analyst Report: Amazon.com, Inc.",https://finance.yahoo.com/m/9f019f76-f756-305d-92a0-932e0f748684/analyst-report%3A-amazon.com%2C.html
7,Jan-04-23 06:43PM, The Wall Street Journal,"Amazon to Lay Off Over 17,000 Workers, More Than First Planned",https://finance.yahoo.com/m/b233dd3a-2930-3e66-8e25-1f1f9c41c691/amazon-to-lay-off-over-17%2C000.html
8,Jan-04-23 05:04PM, MarketWatch,"Short sellers score $300 billion in 2022; bets against Tesla, Amazon, Meta bring in the most",https://finance.yahoo.com/m/5828b738-d608-3c1e-8415-f9583d1e6340/short-sellers-score-%24300.html
9,Jan-04-23 04:34PM, Yahoo Finance,CES 2023: Everything were expecting from the years biggest tech show,https://finance.yahoo.com/news/ces-2023-everything-were-expecting-from-the-years-biggest-tech-show-213403689.html
10,Jan-04-23 04:19PM, Barrons.com,"These Stocks Are Moving the Most Today: Coinbase, Alibaba, Wynn, Microsoft, and More",https://finance.yahoo.com/m/0d689730-e9ff-390b-b446-fde370c9488c/these-stocks-are-moving-the.html
11,Jan-04-23 03:42PM, MarketWatch,"Jeff Bezos may return to helm Amazon, says forecaster of double-digit stock market losses last year",https://finance.yahoo.com/m/81712c6c-b94c-3d57-9053-ba8554ad47bb/jeff-bezos-may-return-to-helm.html
12,Jan-04-23 03:21PM, Motley Fool,Why Amazon Stock Had Trouble Gaining Ground on Wednesday,https://finance.yahoo.com/m/dc637be6-d688-3349-a47b-820aabb08f06/why-amazon-stock-had-trouble.html
13,Jan-04-23 01:44PM, Yahoo Finance,Salesforce layoffs suggest 'continued trimming' to come for Big Tech: analyst,https://finance.yahoo.com/news/salesforce-layoffs-suggest-continued-trimming-to-come-for-big-tech-analyst-184459983.html
14,Jan-04-23 12:47PM, MarketWatch,Google and Facebooks dominance in digital ads challenged by rapid ascent of Amazon and TikTok,https://finance.yahoo.com/m/6e0c5baf-9a83-355b-bfcf-ea780b929219/google-and-facebook%E2%80%99s.html
15,Jan-04-23 12:21PM, MarketWatch,Google and Facebooks digital ad dominance challenged by rapid ascent of Amazon and TikTok,https://finance.yahoo.com/m/6e0c5baf-9a83-355b-bfcf-ea780b929219/google-and-facebook%E2%80%99s-digital.html
16,Jan-04-23 12:13PM, Motley Fool,3 Amazon Stock Predictions for 2023,https://finance.yahoo.com/m/1a25139b-0424-3b4f-9d5c-ede410bbcf1f/3-amazon-stock-predictions.html
17,Jan-04-23 11:50AM, Zacks,Alphabet (GOOGL) to Boost YouTube TV With Multi-Screen Viewing,https://finance.yahoo.com/news/alphabet-googl-boost-youtube-tv-165004565.html
18,Jan-04-23 11:30AM, Motley Fool,Better Buy: Amazon Stock vs. Netflix Stock,https://finance.yahoo.com/m/04a36125-7986-379c-8ae5-23d14abc6b4a/better-buy%3A-amazon-stock-vs..html
19,Jan-04-23 10:17AM, Motley Fool,Why Tech Is a Wise Investment in an Economic Downturn,https://finance.yahoo.com/m/42c297e3-0a78-39b2-9e3b-fb10a526216b/why-tech-is-a-wise-investment.html
