,Time,News Reporter,News Headline,URL
0,Jan-04-23 09:12PM, Bloomberg,Tech Companies Keep Slashing Jobs in Uncertain 2023 Economy,https://finance.yahoo.com/news/tech-companies-keep-slashing-jobs-004012234.html
1,Jan-04-23 04:30PM, Business Wire,Intel to Report Fourth-Quarter and Full-Year 2022 Financial Results,https://finance.yahoo.com/news/intel-report-fourth-quarter-full-213000570.html
2,Jan-04-23 12:59PM, Motley Fool,"Why Intel, Qualcomm, and TSMC Stocks Popped Today",https://finance.yahoo.com/m/b0d6c07c-e75e-30d7-8ee3-3af4815881e9/why-intel%2C-qualcomm%2C-and-tsmc.html
3,Jan-04-23 11:00AM, MarketWatch,Here are the chip companies that should benefit the most from the governments massive incentives,https://finance.yahoo.com/m/f372e0eb-0944-35c3-b06a-2919afa2a6ef/here-are-the-chip-companies.html
4,Jan-04-23 10:15AM, Motley Fool,What the Latest Updates Mean for Intel and Nvidia Investors,https://finance.yahoo.com/m/de6c7a13-aa48-3c63-83fe-3c0610487619/what-the-latest-updates-mean.html
5,Jan-04-23 09:25AM, Motley Fool,"Cut in Half in 2022: Which Is the Best Stock to Buy for 2023, Intel Stock or Nvidia Stock?",https://finance.yahoo.com/m/4715bb46-e295-3582-8a9e-7c743cbe4e36/cut-in-half-in-2022%3A-which-is.html
6,Jan-04-23 08:10AM, Motley Fool,Intel Follows Through on CPU Price Increase,https://finance.yahoo.com/m/1f2a3f79-66b3-3fae-a014-76e27fcd1ed3/intel-follows-through-on-cpu.html
7,Jan-04-23 07:34AM, MarketWatch,"Here are the companies in the layoffs spotlight: Salesforce joins Intel, Google, HP, Amazon, Cisco",https://finance.yahoo.com/m/8a47f0ea-7b53-36d7-bbea-34e312b132cf/here-are-the-companies-in-the.html
8,Jan-04-23 06:00AM, Motley Fool,Intel Unveils New Processors: Is It a Game-Changer for Intel Stock?,https://finance.yahoo.com/m/6822a7cd-e3bc-37ae-8ea8-8565a50250b9/intel-unveils-new-processors%3A.html
9,Jan-04-23 05:21AM, Motley Fool,5 Dow Stocks That Make for No-Brainer Buys in 2023,https://finance.yahoo.com/m/2579b334-e191-3a2a-90c2-90aadccdc1b6/5-dow-stocks-that-make-for.html
10,Jan-04-23 05:15AM, Motley Fool,One Indicator That Makes ASML a Screaming Buy,https://finance.yahoo.com/m/53465416-acdc-3028-ae91-4f9eeac2cd53/one-indicator-that-makes-asml.html
11,Jan-04-23 05:00AM, Motley Fool,"With Its Stock Near a 52-Week Low, Is Intel a Buy?",https://finance.yahoo.com/m/49a87ab7-fe6b-3c2a-8080-5084f037c1e4/with-its-stock-near-a-52-week.html
12,Jan-04-23 12:00AM, Financial Times,Chip designer Arm targets car market for growth,https://finance.yahoo.com/m/f2e63787-ffb0-3850-a658-c44cbb1aa301/chip-designer-arm-targets-car.html
13,Jan-03-23 05:45PM, Zacks,Intel (INTC) Gains As Market Dips: What You Should Know,https://finance.yahoo.com/news/intel-intc-gains-market-dips-224510183.html
14,Jan-03-23 02:15PM, Motley Fool,TSMC Had a Down Year in 2022. Why the Stock Is a Buy in 2023.,https://finance.yahoo.com/m/5125f214-8e60-3fe2-ba34-da5936e9f4ba/tsmc-had-a-down-year-in-2022..html
15,Jan-03-23 11:45AM, Yahoo Finance,"Nvidia working with Foxconn on electric cars, debuts new graphics cards at CES",https://finance.yahoo.com/news/nvidia-working-with-foxconn-on-electric-cars-debuts-new-graphics-cards-at-ces-164530036.html
16,Jan-03-23 09:17AM, Insider Monkey,15 Most Valuable Silicon Valley Companies in the World,https://finance.yahoo.com/news/15-most-valuable-silicon-valley-141713681.html
17,Jan-03-23 09:02AM, Yahoo Finance,Intel debuts 'world's fastest mobile processor' at CES 2023,https://finance.yahoo.com/news/intel-debuts-worlds-fastest-mobile-processor-at-ces-2023-140008461.html
18,Jan-03-23 09:00AM, Business Wire,CES: Intel Extends Performance Leadership with World's Fastest Mobile Processor,https://finance.yahoo.com/news/ces-intel-extends-performance-leadership-140000009.html
19,Jan-03-23 07:10AM, Motley Fool,Is It Time to Buy the Dow Jones' 3 Worst-Performing Stocks of 2022?,https://finance.yahoo.com/m/b650e821-5960-3481-967b-eef9a0728b0e/is-it-time-to-buy-the-dow.html
20,Jan-02-23 11:30AM, Motley Fool,Better Semiconductor Stock: TSMC vs. Intel,https://finance.yahoo.com/m/679ed036-7329-3f45-93e3-ee253015742e/better-semiconductor-stock%3A.html
21,Jan-02-23 11:15AM, Motley Fool,Warren Buffett Bought This Chip Giant in 2022. Should You Do the Same in 2023?,https://finance.yahoo.com/m/8ef466b2-eb73-3df3-9c39-8fed75b3ff00/warren-buffett-bought-this.html
22,Jan-02-23 11:07AM, Motley Fool,AMD Will Hold 1 Key Advantage Over Intel for Much of 2023,https://finance.yahoo.com/m/2b8c3acf-c938-3977-a0d5-60c1396f61c2/amd-will-hold-1-key-advantage.html
23,Jan-02-23 08:45AM, Motley Fool,"Down 49% in 2022, Is Intel an Excellent Dividend Stock to Buy for 2023?",https://finance.yahoo.com/m/4a85d5cc-6d27-3d47-bec1-dd59e7227a9c/down-49%25-in-2022%2C-is-intel-an.html
24,Jan-02-23 05:10AM, Motley Fool,Semiconductors Are a Trillion-Dollar Industry: Now Is the Time to Buy Advanced Micro Devices,https://finance.yahoo.com/m/77851f85-26a4-3a9e-9de7-1e19460ef5c9/semiconductors-are-a.html
25,Jan-01-23 09:10AM, Motley Fool,2 High-Yield Dividend Tech Stocks to Buy for 2023,https://finance.yahoo.com/m/f80f1f0c-4cf1-3485-906e-afc12a0b935b/2-high-yield-dividend-tech.html
26,Jan-01-23 09:00AM, Motley Fool,Taiwan Semi vs. Intel Stock: Which Is the Better Buy Now?,https://finance.yahoo.com/m/c6d054da-90bf-3c7d-b236-6d82b150de3f/taiwan-semi-vs.-intel-stock%3A.html
27,Dec-31-22 04:40PM, Investopedia,10 Biggest Technology Companies,https://finance.yahoo.com/m/4039dfaa-261b-3cd0-a3e1-699b93375d2a/10-biggest-technology.html
28,Dec-31-22 09:00AM, Simply Wall St.,Bullish Intel Corporation (NASDAQ:INTC) insiders filled their treasuries with US$4.9m worth of stock over last year,https://finance.yahoo.com/news/bullish-intel-corporation-nasdaq-intc-140009798.html
29,Dec-31-22 08:10AM, Motley Fool,This Could Be a Gross Margin Killer for AMD,https://finance.yahoo.com/m/62c7de6e-d48b-3d57-b34c-be0a9b51da09/this-could-be-a-gross-margin.html
30,Dec-31-22 05:30AM, Motley Fool,Buying These 3 Dirt Cheap Warren Buffett Dividend Stocks Could Be a Genius Move In 2023,https://finance.yahoo.com/m/71d9a91b-9bfb-3311-8d6c-93c6755af2c5/buying-these-3-dirt-cheap.html
31,Dec-30-22 05:15PM, Motley Fool,Don't Wait for a Market Crash: These 2 Top Stocks Are on Sale,https://finance.yahoo.com/m/cc7b28c7-7fca-3e1e-b3d7-ee05859ef7d0/don%27t-wait-for-a-market.html
32,Dec-30-22 01:38PM, MarketWatch,"Verizon, Intel and Dow stocks are the biggest dogs of the Dow as 2022 ends",https://finance.yahoo.com/m/ed01cab3-c106-3b58-8bf5-5d8eb786c03d/verizon%2C-intel-and-dow-stocks.html
33,Dec-30-22 01:30PM, Insider Monkey,15 Best 52-Week Low Large Cap Stocks to Buy Now,https://finance.yahoo.com/news/15-best-52-week-low-183029328.html
34,Dec-30-22 11:25AM, Motley Fool,Intel Backtracks on New Fab While TSMC Explores Further Expansion,https://finance.yahoo.com/m/db14ce93-b101-3d68-bbfb-11c7d62264b1/intel-backtracks-on-new-fab.html
35,Dec-30-22 08:53AM, Motley Fool,3 Top Stocks Worth Buying for the Long Term in 2023,https://finance.yahoo.com/m/84bfb677-6db2-3695-85d3-bd7f293f67d2/3-top-stocks-worth-buying-for.html
36,Dec-30-22 08:36AM, Zacks,Check Point (CHKP) & Intel Collab on Endpoint Security,https://finance.yahoo.com/news/check-point-chkp-intel-collab-133601314.html
37,Dec-30-22 07:50AM, Benzinga,"FTX Exchange's Assets Worth $3.5B Held By Bahamian Regulators, Italy PM To Meet Intel Over Chip Investment, New Oral COVID Antiviral Might Be Better Than Pfizer's Paxlovid: Today's Top Stories",https://finance.yahoo.com/news/ftx-exchanges-assets-worth-3-125005532.html
38,Dec-30-22 06:49AM, Benzinga,Italy PM To Meet Intel Over Multibillion-Euro Chip Investment,https://finance.yahoo.com/news/italy-pm-meet-intel-over-114912854.html
39,Dec-30-22 06:05AM, Motley Fool,ASML Stock Falls on News of a Huawei Patent Application. Time to Sell?,https://finance.yahoo.com/m/2dbce162-9ba9-33ee-9562-05e415786181/asml-stock-falls-on-news-of-a.html
40,Dec-30-22 05:30AM, Motley Fool,"Microsoft Stock: Buy, Sell, or Hold in 2023?",https://finance.yahoo.com/m/afd61b2f-146b-3390-8fa4-86d1779ec054/microsoft-stock%3A-buy%2C-sell%2C.html
41,Dec-29-22 04:49PM, American City Business Journals,GlobalFoundries is cutting 50 workers at its former HQ in Santa Clara,https://finance.yahoo.com/m/030d919f-8e77-3d11-bf1a-4e36d456f5f8/globalfoundries-is-cutting-50.html
42,Dec-29-22 01:36PM, Motley Fool,"Why Taiwan Semiconductor, Intel, and Qualcomm Stocks Popped Today",https://finance.yahoo.com/m/1a72f68c-cf50-3de3-ab35-b78944b8b8dd/why-taiwan-semiconductor%2C.html
43,Dec-29-22 10:33AM, MarketWatch,"All 30 Dow stocks rise, led by Disney and Apple, the previous sessions worst performers",https://finance.yahoo.com/m/531a392f-a657-3d52-bce6-c328c6174466/all-30-dow-stocks-rise%2C-led.html
