,Time,News Reporter,News Headline,URL
0,Jan-04-23 11:56PM, MarketWatch,CES 2023: AMD seeks to attract Nvidias customers with advanced new AI chips,https://finance.yahoo.com/m/a0545154-ed95-3e3d-9801-290af84edc56/ces-2023%3A-amd-seeks-to.html
1,Jan-04-23 02:54PM, Benzinga,"Nvidia Analyst Hails Attractive Pricing Of Cloud Gaming Platform And Laptops, Collaboration With Foxconn",https://finance.yahoo.com/news/nvidia-analyst-hails-attractive-pricing-195433654.html
2,Jan-04-23 12:53PM, MarketWatch,"CES 2023: A new metaverse headset gets early buzz as AI, augmented reality and car tech look to make a splash",https://finance.yahoo.com/m/5b2ddaed-d9ab-374b-83df-f50913320d60/ces-2023%3A-a-new-%E2%80%98metaverse%E2%80%99.html
3,Jan-04-23 12:08PM, Zacks,"NVIDIA (NVDA), Foxconn Team up for Autonomous Vehicle Platform",https://finance.yahoo.com/news/nvidia-nvda-foxconn-team-autonomous-170805964.html
4,Jan-04-23 10:34AM, American City Business Journals,"What Nvidia announced at CES: Foxconn EV partnership, cloud gaming in cars, graphics cards",https://finance.yahoo.com/m/f575efc3-d94b-3cfa-ad76-0b71b26e5dea/what-nvidia-announced-at-ces%3A.html
5,Jan-04-23 10:26AM, Motley Fool,"If You Invested $1,000 in Nvidia's IPO, This Is How Much You Would Have Today",https://finance.yahoo.com/m/6b41cc1d-7248-39d4-9e90-a027c6487f2f/if-you-invested-%241%2C000-in.html
6,Jan-04-23 10:15AM, Motley Fool,What the Latest Updates Mean for Intel and Nvidia Investors,https://finance.yahoo.com/m/de6c7a13-aa48-3c63-83fe-3c0610487619/what-the-latest-updates-mean.html
7,Jan-04-23 09:36AM, Motley Fool,Is Nvidia's New GPU a Turning Point for NVDA Stock?,https://finance.yahoo.com/m/01cf9c8a-44b0-38d5-a29d-ec303d3ae863/is-nvidia%27s-new-gpu-a-turning.html
8,Jan-04-23 09:25AM, Motley Fool,"Cut in Half in 2022: Which Is the Best Stock to Buy for 2023, Intel Stock or Nvidia Stock?",https://finance.yahoo.com/m/4715bb46-e295-3582-8a9e-7c743cbe4e36/cut-in-half-in-2022%3A-which-is.html
9,Jan-04-23 08:08AM, Benzinga,British Chip Designer Arm Eyes Lucrative Automotive Market,https://finance.yahoo.com/news/british-chip-designer-arm-eyes-130830819.html
10,Jan-04-23 07:43AM, Benzinga,Nvidia And Foxconn Joined Forces To Build Autonomous Vehicles,https://finance.yahoo.com/news/nvidia-foxconn-joined-forces-build-124325422.html
11,Jan-04-23 07:00AM, Simply Wall St.,Some Investors May Be Worried About NVIDIA's (NASDAQ:NVDA) Returns On Capital,https://finance.yahoo.com/news/investors-may-worried-nvidias-nasdaq-120056379.html
12,Jan-04-23 12:00AM, Financial Times,Chip designer Arm targets car market for growth,https://finance.yahoo.com/m/f2e63787-ffb0-3850-a658-c44cbb1aa301/chip-designer-arm-targets-car.html
13,Jan-03-23 05:46PM, Barrons.com,Marvell and 3 Other Chip Stocks That Are Best Ideas for 2023,https://finance.yahoo.com/m/64de97e2-b9b7-33a2-b4d1-7a94556c28c5/marvell-and-3-other-chip.html
14,Jan-03-23 04:54PM, Investor's Business Daily,Nvidia Teams With Apple Partner Foxconn On Self-Driving Cars,https://finance.yahoo.com/m/040bb5cf-1926-3a80-87a1-30cb7b308993/nvidia-teams-with-apple.html
15,Jan-03-23 02:25PM, The Wall Street Journal,"Nvidia, Foxconn Partner on Electric Vehicles",https://finance.yahoo.com/m/3a694d8f-0a44-39e6-952e-e7eb58da1121/nvidia%2C-foxconn-partner-on.html
16,Jan-03-23 01:49PM, Reuters,UPDATE 1-Foxconn to use Nvidia chips to build self-driving vehicle platforms,https://finance.yahoo.com/news/1-foxconn-nvidia-chips-build-184913064.html
17,Jan-03-23 01:49PM, MarketWatch,"Cars and videogames: Nvidia rolls out $799 gaming card, partners with Foxconn on EVs",https://finance.yahoo.com/m/63e9855b-531a-3d9c-87b7-9e2efa03d28c/cars-and-videogames%3A-nvidia.html
18,Jan-03-23 12:53PM, Reuters,Foxconn to use Nvidia chips to build self-driving vehicle platforms,https://finance.yahoo.com/news/nvidia-foxconn-build-autonomous-vehicle-175346477.html
19,Jan-03-23 12:43PM, Reuters,"Nvidia, Foxconn to build autonomous vehicle platforms",https://finance.yahoo.com/news/nvidia-foxconn-build-autonomous-vehicle-174349347.html
20,Jan-03-23 11:45AM, Yahoo Finance,"Nvidia working with Foxconn on electric cars, debuts new graphics cards at CES",https://finance.yahoo.com/news/nvidia-working-with-foxconn-on-electric-cars-debuts-new-graphics-cards-at-ces-164530036.html
