,Time,News Reporter,News Headline,URL
0,Jan-04-23 10:09PM, Investor's Business Daily +5.12%,"Dow Jones Futures Fall After Stocks Rise, Microsoft Tumbles; Beware Doing This",https://finance.yahoo.com/m/f5a46e55-4360-3f30-bcb1-39dc197902d1/dow-jones-futures-fall-after.html
1,Jan-04-23 09:38PM, Bloomberg,Sony and Honda Unveil Afeela EV in Latest Challenge to Tesla,https://finance.yahoo.com/news/sony-honda-unveil-afeela-ev-023830777.html
2,Jan-04-23 09:32PM, Investor's Business Daily,Dow Jones Rises Despite Microsoft Sell-Off; Beware 'Buying The Blip',https://finance.yahoo.com/m/f5a46e55-4360-3f30-bcb1-39dc197902d1/dow-jones-rises-despite.html
3,Jan-04-23 06:45PM, Fortune,"If you had invested $1,000 in Tesla 5 years ago, youd have $4,973 today, a gain of 397%",https://finance.yahoo.com/news/had-invested-1-000-tesla-234554705.html
4,Jan-04-23 06:33PM, TheStreet.com,A Horrifying Incident Shows Off Tesla Safety Standards,https://finance.yahoo.com/m/3708cf04-3a4a-3d68-b1b2-0f96aff91c85/a-horrifying-incident-shows.html
5,Jan-04-23 06:05PM, Investor's Business Daily,"Dow Jones Rises, But Beware 'Buying The Blip'; Microsoft Skids While These Stocks Soar",https://finance.yahoo.com/m/f5a46e55-4360-3f30-bcb1-39dc197902d1/dow-jones-rises%2C-but-beware.html
6,Jan-04-23 05:25PM, TipRanks,"Theres an Opportunity Brewing in Tesla Shares, Says Morgan Stanley",https://finance.yahoo.com/news/opportunity-brewing-tesla-shares-says-222500677.html
7,Jan-04-23 05:21PM, Investor's Business Daily,"Tesla Stock Vs. BYD Stock: Tesla Demand Concerns Grow As Archrival Unveils Premium Brand, Model",https://finance.yahoo.com/m/0d1679e9-5a19-30a3-bee5-1d78a0372faa/tesla-stock-vs.-byd-stock%3A.html
8,Jan-04-23 05:04PM, MarketWatch,"Short sellers score $300 billion in 2022; bets against Tesla, Amazon, Meta bring in the most",https://finance.yahoo.com/m/5828b738-d608-3c1e-8415-f9583d1e6340/short-sellers-score-%24300.html
9,Jan-04-23 04:53PM, Reuters,California doctor who drove Tesla off cliff to be charged with attempted murder,https://finance.yahoo.com/news/california-doctor-drove-tesla-off-215326732.html
10,Jan-04-23 04:42PM, Yahoo Finance Video,New car buyers should be patient as incentives climb throughout 2023: Analyst,https://finance.yahoo.com/video/car-buyers-patient-incentives-climb-214239969.html
11,Jan-04-23 04:25PM, Investor's Business Daily,U.S. Auto Sales: GM Is Top-Selling Carmaker In 2022 On Stronger-Than-Expected Q4,https://finance.yahoo.com/m/d19bd160-660a-3e0d-8ee4-0df1d2ed3107/u.s.-auto-sales%3A-gm-is.html
12,Jan-04-23 04:23PM, Investor's Business Daily,"Dow Jones Fights Back As Fed Minutes Show This; Microsoft Sinks, Tesla Gains; GE Stock Pops",https://finance.yahoo.com/m/491e1f4c-6915-3683-905f-ab946369d957/dow-jones-fights-back-as-fed.html
13,Jan-04-23 04:23PM, Investor's Business Daily,"Dow Jones Fights As Fed Minutes Show This; Microsoft Sinks, Tesla Gains; GE Stock Pops",https://finance.yahoo.com/m/491e1f4c-6915-3683-905f-ab946369d957/dow-jones-fights-as-fed.html
14,Jan-04-23 03:36PM, Yahoo Finance,"Tesla: 'There is no floor on this stock,' portfolio manager says",https://finance.yahoo.com/news/tesla-there-is-no-floor-on-this-stock-portfolio-manager-says-203644920.html
15,Jan-04-23 03:13PM, Investor's Business Daily,Dow Jones Fades As Fed Minutes Show This; Microsoft Sinks On Downgrade; GE Stock Pops,https://finance.yahoo.com/m/491e1f4c-6915-3683-905f-ab946369d957/dow-jones-fades-as-fed.html
16,Jan-04-23 02:41PM, Reuters,"With big bets on Musk, these funds may have a Tesla problem in '23",https://finance.yahoo.com/news/big-bets-musk-funds-may-194101966.html
17,Jan-04-23 02:29PM, Reuters,"With big bets on Musk, these funds may have a Tesla problem in '23",https://finance.yahoo.com/news/big-bets-musk-funds-may-192949385.html
18,Jan-04-23 01:47PM, Financial Times,Teslas Springfield Gorge trajectory,https://finance.yahoo.com/m/96b38fb5-ee32-32ff-b41a-f28b7af752c5/tesla%E2%80%99s-springfield-gorge.html
